iter	Passed	Remaining
730	2063	3583
731	2067	3581
732	2070	3578
733	2073	3575
734	2077	3575
735	2080	3573
736	2083	3571
737	2086	3567
738	2088	3564
739	2091	3561
740	2093	3557
741	2095	3553
742	2098	3549
743	2101	3547
744	2104	3544
745	2106	3540
746	2109	3537
747	2111	3534
748	2115	3533
749	2118	3530
750	2120	3526
751	2123	3523
752	2125	3520
753	2127	3516
754	2130	3512
755	2133	3510
756	2136	3508
757	2139	3504
758	2142	3502
759	2144	3498
760	2147	3495
761	2149	3492
762	2152	3490
763	2155	3486
764	2157	3482
765	2159	3479
766	2162	3476
767	2164	3472
768	2167	3469
769	2169	3465
770	2172	3463
771	2175	3460
772	2178	3457
773	2181	3455
774	2184	3452
775	2187	3450
776	2189	3446
777	2192	3444
778	2195	3440
779	2198	3438
780	2201	3436
781	2203	3432
782	2206	3429
783	2208	3425
784	2211	3422
785	2214	3420
786	2217	3417
787	2220	3414
788	2223	3412
789	2225	3408
790	2227	3405
791	2230	3401
792	2233	3399
793	2236	3397
794	2239	3394
795	2242	3391
796	2245	3388
797	2248	3387
798	2251	3383
799	2254	3381
800	2256	3377
801	2259	3374
802	2262	3372
803	2265	3370
804	2268	3367
805	2270	3363
806	2274	3361
807	2276	3358
808	2280	3357
809	2283	3355
810	2286	3351
811	2288	3348
812	2291	3345
813	2293	3342
814	2297	3340
815	2299	3336
816	2301	3333
817	2304	3329
818	2307	3326
819	2310	3324
820	2313	3322
821	2315	3318
822	2318	3315
823	2322	3314
824	2324	3310
825	2327	3308
826	2330	3305
827	2333	3302
828	2335	3298
829	2338	3295
830	2340	3292
831	2343	3290
832	2346	3286
833	2348	3283
834	2351	3280
835	2354	3278
836	2356	3274
837	2360	3272
838	2363	3269
839	2365	3266
840	2367	3262
841	2369	3259
842	2373	3256
843	2376	3254
844	2379	3252
845	2381	3248
846	2384	3245
847	2386	3242
848	2388	3238
849	2391	3235
850	2394	3233
851	2397	3230
852	2400	3228
853	2403	3225
854	2406	3222
855	2408	3218
856	2411	3216
857	2414	3213
858	2416	3209
859	2418	3206
860	2421	3203
861	2423	3199
862	2427	3198
863	2430	3195
864	2432	3192
865	2434	3188
866	2437	3185
867	2439	3181
868	2442	3178
869	2445	3175
870	2447	3171
871	2449	3168
872	2451	3165
873	2454	3162
874	2458	3160
875	2461	3157
876	2463	3154
877	2466	3151
878	2469	3148
879	2471	3145
880	2474	3143
881	2476	3139
882	2478	3135
883	2481	3132
884	2484	3130
885	2487	3127
886	2489	3124
887	2492	3121
888	2495	3118
889	2497	3114
890	2499	3111
891	2502	3108
892	2505	3106
893	2508	3103
894	2511	3100
895	2513	3097
896	2516	3093
897	2518	3090
898	2521	3088
899	2525	3086
900	2528	3083
901	2530	3080
902	2533	3077
903	2536	3075
904	2538	3071
905	2541	3069
906	2544	3066
907	2547	3063
908	2549	3059
909	2551	3055
910	2553	3052
911	2556	3049
912	2558	3046
913	2561	3043
914	2564	3041
915	2568	3039
916	2570	3035
917	2573	3033
918	2575	3029
919	2578	3026
920	2580	3023
921	2582	3019
922	2584	3016
923	2587	3012
924	2590	3010
925	2592	3007
926	2594	3003
927	2597	3000
928	2599	2997
929	2603	2995
930	2606	2993
931	2608	2989
932	2611	2986
933	2614	2984
934	2617	2981
935	2620	2979
936	2624	2977
937	2627	2974
938	2629	2971
939	2632	2968
940	2634	2965
941	2637	2962
942	2641	2960
943	2643	2957
944	2646	2954
945	2648	2951
946	2652	2948
947	2655	2946
948	2658	2943
949	2661	2941
950	2664	2939
951	2667	2936
952	2669	2932
953	2672	2929
954	2674	2926
955	2676	2923
956	2679	2920
957	2681	2916
958	2683	2912
959	2686	2910
960	2689	2907
961	2692	2905
962	2695	2902
963	2697	2899
964	2701	2897
965	2704	2895
966	2706	2891
967	2710	2889
968	2712	2886
969	2715	2883
970	2717	2880
971	2720	2877
972	2722	2873
973	2725	2870
974	2727	2867
975	2731	2865
976	2733	2862
977	2736	2859
978	2739	2856
979	2741	2853
980	2744	2850
981	2748	2848
982	2750	2845
983	2753	2842
984	2756	2840
985	2759	2837
986	2761	2834
987	2764	2831
988	2767	2828
989	2769	2825
990	2772	2822
991	2775	2819
992	2777	2816
993	2780	2813
994	2783	2811
995	2785	2808
996	2788	2804
997	2789	2801
998	2792	2798
999	2795	2795
1000	2798	2793
1001	2801	2789
1002	2803	2786
1003	2805	2783
1004	2807	2779
1005	2810	2777
1006	2813	2774
1007	2815	2770
1008	2818	2768
1009	2820	2764
1010	2823	2761
1011	2826	2759
1012	2829	2756
1013	2831	2753
1014	2835	2751
1015	2837	2748
1016	2839	2744
1017	2843	2742
1018	2845	2739
1019	2848	2736
1020	2850	2733
1021	2853	2730
1022	2855	2726
1023	2857	2723
1024	2861	2722
1025	2864	2719
1026	2866	2715
1027	2869	2713
1028	2872	2710
1029	2874	2707
1030	2876	2703
1031	2878	2700
1032	2881	2697
1033	2885	2695
1034	2888	2692
1035	2890	2689
1036	2893	2686
1037	2895	2683
1038	2898	2681
1039	2902	2679
1040	2905	2676
1041	2908	2673
1042	2910	2670
1043	2913	2667
1044	2917	2665
1045	2919	2662
1046	2922	2659
1047	2925	2657
1048	2927	2653
1049	2930	2651
1050	2933	2648
1051	2935	2645
1052	2938	2642
1053	2941	2640
1054	2944	2637
1055	2946	2634
1056	2950	2632
1057	2954	2630
1058	2956	2626
1059	2959	2624
1060	2961	2621
1061	2964	2618
1062	2966	2615
1063	2969	2611
1064	2971	2609
1065	2975	2606
1066	2977	2603
1067	2980	2600
1068	2983	2597
1069	2985	2595
1070	2988	2592
1071	2991	2589
1072	2993	2586
1073	2995	2583
1074	2999	2580
1075	3001	2577
1076	3004	2574
1077	3007	2572
1078	3009	2568
1079	3011	2565
1080	3014	2562
1081	3017	2560
1082	3020	2557
1083	3024	2555
1084	3027	2552
1085	3029	2549
1086	3032	2547
1087	3034	2543
1088	3037	2540
1089	3039	2537
1090	3041	2534
1091	3044	2531
1092	3047	2528
1093	3050	2526
1094	3052	2523
1095	3056	2521
1096	3058	2517
1097	3061	2515
1098	3064	2512
1099	3067	2509
1100	3069	2506
1101	3072	2503
1102	3075	2501
1103	3078	2498
1104	3081	2495
1105	3084	2492
1106	3087	2490
1107	3090	2487
1108	3093	2485
1109	3095	2481
1110	3098	2478
1111	3100	2476
1112	3102	2472
1113	3106	2470
1114	3108	2467
1115	3111	2464
1116	3114	2462
1117	3117	2459
1118	3120	2456
1119	3123	2454
1120	3125	2450
1121	3128	2448
1122	3131	2445
1123	3133	2442
1124	3136	2439
1125	3139	2436
1126	3142	2433
1127	3144	2430
1128	3147	2428
1129	3150	2425
1130	3152	2422
1131	3155	2419
1132	3157	2416
1133	3162	2414
1134	3164	2412
1135	3168	2409
1136	3171	2407
1137	3174	2404
1138	3176	2401
1139	3179	2398
1140	3182	2395
1141	3185	2393
1142	3189	2391
1143	3191	2388
1144	3195	2386
1145	3198	2383
1146	3200	2380
1147	3203	2377
1148	3205	2374
1149	3208	2371
1150	3211	2368
1151	3214	2366
1152	3217	2363
1153	3220	2360
1154	3222	2357
1155	3225	2354
1156	3227	2351
1157	3230	2348
1158	3232	2345
1159	3235	2342
1160	3237	2339
1161	3240	2337
1162	3242	2333
1163	3245	2330
1164	3248	2327
1165	3250	2324
1166	3253	2322
1167	3256	2319
1168	3259	2316
1169	3261	2313
1170	3264	2310
1171	3266	2307
1172	3268	2304
1173	3271	2301
1174	3274	2299
1175	3277	2296
1176	3281	2294
1177	3283	2291
1178	3286	2288
1179	3289	2285
1180	3291	2282
1181	3294	2279
1182	3296	2276
1183	3300	2274
1184	3303	2272
1185	3306	2269
1186	3308	2265
1187	3311	2263
1188	3314	2260
1189	3316	2257
1190	3319	2255
1191	3322	2252
1192	3325	2249
1193	3328	2246
1194	3330	2243
1195	3333	2241
1196	3337	2239
1197	3340	2236
1198	3343	2233
1199	3346	2231
1200	3349	2228
1201	3352	2225
1202	3354	2222
1203	3356	2219
1204	3359	2216
1205	3362	2213
1206	3365	2210
1207	3367	2208
1208	3370	2205
1209	3373	2202
1210	3375	2199
1211	3378	2196
1212	3381	2193
1213	3384	2191
1214	3386	2188
1215	3389	2185
1216	3392	2182
